mode,src,group_id,metric,dispersion,n_hparams
binary_base,chunk_0,0,GR,0.33248407461208174,48
binary_base,chunk_0,0,IPC,0.29627254570526723,48
binary_base,chunk_0,0,KR,0.223913073012608,48
binary_base,chunk_0,0,MC,0.16615785814172065,48
binary_base,chunk_0,1,GR,0.3706293377738613,48
binary_base,chunk_0,1,IPC,0.3077680854122443,48
binary_base,chunk_0,1,KR,0.2824686568328401,48
binary_base,chunk_0,1,MC,0.1721302944833676,48
binary_base,chunk_0,10,GR,0.25961094421312964,48
binary_base,chunk_0,10,IPC,0.27653819134748003,48
binary_base,chunk_0,10,KR,0.18045594530832115,48
binary_base,chunk_0,10,MC,0.16370412220965327,48
binary_base,chunk_0,11,GR,0.2759560825070577,48
binary_base,chunk_0,11,IPC,0.25433151545849,48
binary_base,chunk_0,11,KR,0.2072255346383393,48
binary_base,chunk_0,11,MC,0.1343286187988826,48
binary_base,chunk_0,12,GR,0.27467575135723415,48
binary_base,chunk_0,12,IPC,0.24452048161057297,48
binary_base,chunk_0,12,KR,0.18114725432758527,48
binary_base,chunk_0,12,MC,0.12950156198536583,48
binary_base,chunk_0,13,GR,0.29809368662732666,48
binary_base,chunk_0,13,IPC,0.25975900901397064,48
binary_base,chunk_0,13,KR,0.19623518453487268,48
binary_base,chunk_0,13,MC,0.1342810904178047,48
binary_base,chunk_0,14,GR,0.31196229849737783,48
binary_base,chunk_0,14,IPC,0.29672238932550377,48
binary_base,chunk_0,14,KR,0.2726663896202299,48
binary_base,chunk_0,14,MC,0.174604390466004,48
binary_base,chunk_0,15,GR,0.22834343973620905,48
binary_base,chunk_0,15,IPC,0.275798663253972,48
binary_base,chunk_0,15,KR,0.14887357126520606,48
binary_base,chunk_0,15,MC,0.15596326234849578,48
binary_base,chunk_0,16,GR,0.2528191076520889,48
binary_base,chunk_0,16,IPC,0.2879718244191252,48
binary_base,chunk_0,16,KR,0.1571007624865876,48
binary_base,chunk_0,16,MC,0.15918824411491336,48
binary_base,chunk_0,17,GR,0.2729097930146232,48
binary_base,chunk_0,17,IPC,0.3122315264472549,48
binary_base,chunk_0,17,KR,0.18087753205393525,48
binary_base,chunk_0,17,MC,0.1891779205605412,48
binary_base,chunk_0,18,GR,0.32269613689342164,48
binary_base,chunk_0,18,IPC,0.29092755691759786,48
binary_base,chunk_0,18,KR,0.2371928693272619,48
binary_base,chunk_0,18,MC,0.15870461279647677,48
binary_base,chunk_0,19,GR,0.3757463157857423,48
binary_base,chunk_0,19,IPC,0.2920528899656876,48
binary_base,chunk_0,19,KR,0.30139246965288635,48
binary_base,chunk_0,19,MC,0.16930831274645233,48
binary_base,chunk_0,2,GR,0.275429777144837,48
binary_base,chunk_0,2,IPC,0.30665614540828134,48
binary_base,chunk_0,2,KR,0.19025962799649165,48
binary_base,chunk_0,2,MC,0.17271521585454425,48
binary_base,chunk_0,20,GR,0.25849668142833127,48
binary_base,chunk_0,20,IPC,0.26468071250891007,48
binary_base,chunk_0,20,KR,0.1720934311150239,48
binary_base,chunk_0,20,MC,0.1534810037381704,48
binary_base,chunk_0,21,GR,0.28824748063442557,48
binary_base,chunk_0,21,IPC,0.2935208996945397,48
binary_base,chunk_0,21,KR,0.18394131087437784,48
binary_base,chunk_0,21,MC,0.1628850515597552,48
binary_base,chunk_0,22,GR,0.2729790237182829,48
binary_base,chunk_0,22,IPC,0.30728813426673374,48
binary_base,chunk_0,22,KR,0.1979515717227641,48
binary_base,chunk_0,22,MC,0.17586794232577752,48
binary_base,chunk_0,23,GR,0.2670144816347145,48
binary_base,chunk_0,23,IPC,0.2684858722339036,48
binary_base,chunk_0,23,KR,0.18226052240683457,48
binary_base,chunk_0,23,MC,0.1599326954493526,48
binary_base,chunk_0,24,GR,0.2769910680404445,48
binary_base,chunk_0,24,IPC,0.28117577524207804,48
binary_base,chunk_0,24,KR,0.16106328236445486,48
binary_base,chunk_0,24,MC,0.14967169589684817,48
binary_base,chunk_0,3,GR,0.2429634908237319,48
binary_base,chunk_0,3,IPC,0.29061519514564205,48
binary_base,chunk_0,3,KR,0.1776652566158088,48
binary_base,chunk_0,3,MC,0.15520910366889404,48
binary_base,chunk_0,4,GR,0.28907077504118855,48
binary_base,chunk_0,4,IPC,0.2875504198079086,48
binary_base,chunk_0,4,KR,0.2365047239231059,48
binary_base,chunk_0,4,MC,0.16464195515645955,48
binary_base,chunk_0,5,GR,0.3024353324769615,48
binary_base,chunk_0,5,IPC,0.2623341058763108,48
binary_base,chunk_0,5,KR,0.20101846157908998,48
binary_base,chunk_0,5,MC,0.12153266632669264,48
binary_base,chunk_0,6,GR,0.3284959202748271,48
binary_base,chunk_0,6,IPC,0.32820407349956787,48
binary_base,chunk_0,6,KR,0.274218581275567,48
binary_base,chunk_0,6,MC,0.19671898538977356,48
binary_base,chunk_0,7,GR,0.24328010994590413,48
binary_base,chunk_0,7,IPC,0.262951612739608,48
binary_base,chunk_0,7,KR,0.18430442084707163,48
binary_base,chunk_0,7,MC,0.15113550733201403,48
binary_base,chunk_0,8,GR,0.3303214142900423,48
binary_base,chunk_0,8,IPC,0.28143555993057723,48
binary_base,chunk_0,8,KR,0.2584005497638329,48
binary_base,chunk_0,8,MC,0.1768934277745441,48
binary_base,chunk_0,9,GR,0.39889286823879677,48
binary_base,chunk_0,9,IPC,0.3057305320707631,48
binary_base,chunk_0,9,KR,0.3041483831695114,48
binary_base,chunk_0,9,MC,0.1787741748437547,48
binary_base,chunk_1,25,GR,0.26883169141833885,48
binary_base,chunk_1,25,IPC,0.29491627255179215,48
binary_base,chunk_1,25,KR,0.18793231967568266,48
binary_base,chunk_1,25,MC,0.16549093718276814,48
binary_base,chunk_1,26,GR,0.27310894685999315,48
binary_base,chunk_1,26,IPC,0.27950818217873824,48
binary_base,chunk_1,26,KR,0.1910090070297069,48
binary_base,chunk_1,26,MC,0.14258256141692247,48
binary_base,chunk_1,27,GR,0.2634077981275302,48
binary_base,chunk_1,27,IPC,0.294155240743081,48
binary_base,chunk_1,27,KR,0.17758078657033363,48
binary_base,chunk_1,27,MC,0.1779709833764196,48
binary_base,chunk_1,28,GR,0.2776411361593927,48
binary_base,chunk_1,28,IPC,0.29668003482585825,48
binary_base,chunk_1,28,KR,0.16787855702754984,48
binary_base,chunk_1,28,MC,0.14646527118659844,48
binary_base,chunk_1,29,GR,0.32686948381310726,48
binary_base,chunk_1,29,IPC,0.29134182003357145,48
binary_base,chunk_1,29,KR,0.2607557011384859,48
binary_base,chunk_1,29,MC,0.16358561694811097,48
binary_base,chunk_1,30,GR,0.2623791365333998,48
binary_base,chunk_1,30,IPC,0.31395009220755804,48
binary_base,chunk_1,30,KR,0.15752509341957058,48
